id,order_id,product_id,quantity,price,fulfillment_status
1,1,5,1,125.50,fulfilled
2,2,12,1,99.99,fulfilled
3,2,15,2,100.00,fulfilled
4,3,3,1,50.00,pending
5,4,8,2,75.00,fulfilled
6,5,1,1,75.25,backorder
7,6,22,2,100.00,fulfilled
8,6,18,2,100.00,cancelled
9,7,9,1,99.99,fulfilled
10,8,11,3,108.50,fulfilled
11,8,2,2,108.50,fulfilled
12,9,7,2,90.00,pending
13,10,4,1,60.00,fulfilled
14,11,14,1,112.75,fulfilled
15,11,20,2,112.75,fulfilled
16,12,6,2,70.00,fulfilled
17,13,16,1,85.50,backorder
18,14,25,2,160.00,fulfilled
19,14,10,2,160.00,cancelled
20,15,13,1,97.50,fulfilled
21,15,19,2,97.75,fulfilled
22,16,2,1,110.00,pending
23,17,21,2,125.00,fulfilled
24,18,5,1,75.75,fulfilled
25,19,24,3,100.00,fulfilled
26,19,11,2,100.00,cancelled
27,20,8,2,77.50,fulfilled
28,21,3,1,88.00,fulfilled
29,22,15,3,71.67,fulfilled
30,23,7,2,60.25,pending
31,24,18,2,137.50,fulfilled
32,24,12,2,137.50,fulfilled
33,25,1,1,95.25,backorder
34,26,9,2,90.00,fulfilled
35,27,14,3,106.92,fulfilled
36,27,4,2,106.92,cancelled
37,28,22,1,135.00,fulfilled
38,29,6,2,120.25,fulfilled
39,29,20,1,120.25,pending
40,30,16,2,82.50,fulfilled
41,31,25,2,155.00,fulfilled
42,31,13,2,155.00,fulfilled
43,32,2,1,70.25,backorder
44,33,10,2,100.00,fulfilled
45,34,19,3,95.17,fulfilled
46,34,5,1,95.17,cancelled
47,35,21,1,145.75,fulfilled
48,36,8,2,125.00,fulfilled
49,36,24,2,125.00,pending
50,37,3,1,105.50,fulfilled
51,38,12,2,95.00,fulfilled
52,38,11,0,95.00,fulfilled
53,39,14,3,110.00,fulfilled
54,39,18,2,110.00,cancelled
55,40,7,1,125.25,backorder
56,41,15,2,107.50,fulfilled
57,41,9,1,107.50,fulfilled
58,42,4,2,85.25,pending
59,43,22,2,147.50,fulfilled
60,43,6,2,147.50,fulfilled
61,44,20,1,80.75,fulfilled
62,45,16,2,117.75,fulfilled
63,45,25,0,117.75,fulfilled
64,46,1,1,155.00,fulfilled
65,47,19,3,106.67,fulfilled
66,47,10,2,106.67,cancelled
67,48,13,1,115.25,fulfilled
68,49,21,2,130.00,fulfilled
69,49,5,1,130.00,pending
70,50,24,2,95.38,fulfilled
71,51,8,2,155.25,fulfilled
72,51,3,2,155.25,fulfilled
73,52,12,1,75.00,backorder
74,53,14,2,112.50,fulfilled
75,53,18,0,112.50,fulfilled
76,54,7,3,95.17,fulfilled
77,54,11,1,95.17,cancelled
78,55,2,1,130.25,fulfilled
79,56,9,2,120.00,fulfilled
80,56,15,2,120.00,pending
81,57,22,1,175.75,fulfilled
82,58,4,3,103.33,fulfilled
83,58,20,2,103.33,fulfilled
84,59,6,1,95.50,backorder
85,60,16,3,85.00,fulfilled
86,60,25,1,85.00,cancelled
87,61,19,2,72.50,fulfilled
88,62,13,2,150.00,fulfilled
89,62,10,2,150.00,fulfilled
90,63,5,1,210.50,pending
91,64,21,1,85.25,fulfilled
92,64,24,0,85.25,fulfilled
93,65,8,2,135.00,fulfilled
94,65,3,1,135.00,fulfilled
95,66,12,1,155.75,backorder
96,67,14,3,105.00,fulfilled
97,67,7,1,105.00,cancelled
98,68,18,1,120.50,fulfilled
99,69,11,4,58.75,fulfilled
100,69,2,1,58.75,fulfilled
101,70,9,2,95.00,fulfilled
102,71,15,1,145.00,pending
