id,order_id,quantity,price_usd,subtotal,product_name,description,status,payment_method,is_premium,created_at,updated_at,customer_notes,internal_notes,discount_rate,transaction_hash,customer_id,warehouse_id
1,ORD-000001,13,194.0,2522.0,QQpPCkAZIBkvE fUnDulOvAKlbpEtbFFRStvvwaQyAyJHVwhJYkRBAOVcYzTrZkhMFMlMyspqCihLWMGwamqRdo,Product 1,DELIVERED,CARD,N,2025-09-28 15:08:46.637470,2025-10-01 03:08:46.637470,null,Internal 1,0.2899,TXN-1-13085,12,4.0
2,ORD-000002,32,4897.52,156720.64,fCQHZzoaddGblvwGbyCk FRNkjBvNESYBeYSuMJrMWlQfvXkUs sSb plwNWuiLqojnERwqnOJ MerohTXBkONqNTnWrTNbwuR sEFROKTcUuUBbDWk TwsavSLyiTnbfChK,Product 2,PROCESSING,PAYPAL,N,2025-03-29 15:08:46.637511,2025-04-04 00:08:46.637511,null,Internal 2,,TXN-2-53579,7,4.0
3,ORD-000003,64,3324.5,212768.0,jrNDwFTTxeHbCnlzjCzwNuMqJOanWeVJv NMPRlRmHsrl hJrFEOkuRARQwNyOkNiNucKYHqYaVLJmyQQmtIJjZyDcMQdj  TDdPTXGhlaDmEghXkXrohAALQoIEcosxBsoHtQMuwizgIuVyfiFfXcEjPA uRZBTpZdUtswDT,Product 3,PROCESSING,CRYPTO,True,2025-04-20 15:08:46.637542,2025-05-11 05:08:46.637542,N/A,Internal 3,0.4589,TXN-3-31253,37,2.0
4,ORD-000004,2,4810.19,9620.38,BxtjoXTSqwvupbCiZONkBLosdRJbUfXSzBJoRcfpfDUXywmYoewTHeTDGCYl nbLFrttuAysPsVh,Product 4,PROCESSING,BANK,Y,2025-03-17 15:08:46.637561,2025-04-07 18:08:46.637561,N/A,,,TXN-4-85045,31,
5,ORD-000005,10,418.87,4188.7,SZXosRwlXDvJjqPBzLCdoCHzEqHkQoBMCtREKUXPbbBFtgJfDkHOXoQJjtwVPNDjON bZdJayGnxuJO,Product 5,PROCESSING,PAYPAL,True,2025-04-23 15:08:46.637580,2025-05-02 09:08:46.637580,Note 5,Internal 5,,TXN-5-65977,44,1.0
6,ORD-000006,68,329.33,22394.44,tKEGANNXKjLNFdmnrHYHQN,Product 6,CANCELLED,BANK,False,2025-10-12 15:08:46.637593,2025-10-29 07:08:46.637593,NO DATA,Internal 6,,TXN-6-61644,16,3.0
7,ORD-000007,12,3102.12,37225.44,bBRdtUx iSZtJepCFYGDvLYDCZSiDHgaQNXLXtqtRM sYJVTbwizEQUKUvUAXrhWjWCksTFAelPDgPTsE GtprbSGcdnDMjRyFiEzRfspDanYQCktkqrof,Product 7,CANCELLED,CARD,N,2025-06-02 15:08:46.637613,2025-06-24 12:08:46.637613,,Internal 7,0.2256,TXN-7-33369,57,5.0
8,ORD-000008,65,3130.9,203508.5,PBbyZBDYJuOZSq HdUbQQxYtvPmSSqXTrDTiaS LapeekDifpVynHnErZarhNosZXAOejVuimPnWqkVpVacEZUgrCXZmUlimiByD OfXwlGOVTKm tPsOEQFcjQMjnbMGXhBKxvGOeanurhMKNHOpMytqEjNrzCnIAn,Product 8,NEW,PAYPAL,N,2026-01-24 15:08:46.637641,2026-02-07 20:08:46.637641,Note 8,,0.4911,TXN-8-22544,51,4.0
9,ORD-000009,5,2820.45,14102.25,rdSGKaxMoMrjzZTGOcPvmVdwVNlEbMsgDcWRRpJTSJuSVsK HRTQUMpREOfBABsBNeUaqSdzXpLIKHZbPiFurBeCloZruqrsoZkiCM OGFwvoICrKBrLnMlrUGYpARgXMophOhEyGPmFcUPbbQSgmKnG,Product 9,DELIVERED,PAYPAL,True,2025-05-20 15:08:46.637665,2025-05-26 19:08:46.637665,-,,,TXN-9-29408,23,1.0
10,ORD-000010,2,1212.89,2425.78,uGeSxCkCGfoespNEmiMQYZslATwvRoYPtYykVoLdTicERWQoTezfkGeHnYFXkclkhIkuD yNmiQIfnZAdBcfaFmJwlzbVXciaReZz,Product 10,CANCELLED,CRYPTO,Y,2025-11-14 15:08:46.637684,2025-12-13 01:08:46.637684,null,,0.2116,TXN-10-57226,38,5.0
