id,order_id,product_id,quantity,price,fulfillment_status
1,30,4,2,161.2,fulfilled
2,25,7,4,141.87,backorder
3,13,27,2,151.64,backorder
4,23,10,1,355.47,fulfilled
5,36,2,1,278.91,fulfilled
6,63,4,1,289.16,cancelled
7,62,15,3,96.26,pending
8,33,28,4,61.47,pending
9,52,16,1,290.63,pending
10,20,5,5,474.82,pending
11,32,4,5,383.4,fulfilled
12,67,13,4,454.71,backorder
13,76,14,3,286.47,pending
14,79,24,1,474.06,fulfilled
15,28,9,1,82.74,fulfilled
16,71,3,2,6.32,cancelled
17,77,16,3,21.16,backorder
18,37,23,4,40.23,fulfilled
19,34,26,5,332.29,fulfilled
20,55,4,5,116.28,fulfilled
21,35,27,2,40.35,fulfilled
22,40,20,5,460.99,cancelled
23,16,15,3,351.37,backorder
24,65,18,4,221.69,pending
25,56,24,3,303.84,pending
26,12,8,5,295.63,pending
27,35,19,1,382.74,fulfilled
28,61,17,4,458.46,fulfilled
29,75,14,4,484.68,cancelled
30,45,14,3,163.92,pending
31,21,11,4,348.37,backorder
32,52,27,5,23.17,pending
33,41,9,3,62.38,cancelled
34,66,27,1,330.54,cancelled
35,53,2,2,261.63,cancelled
36,57,25,1,105.76,fulfilled
37,37,15,4,65.11,fulfilled
38,21,10,5,11.77,cancelled
39,12,8,1,233.42,pending
40,20,16,3,256.89,backorder
41,54,27,4,490.22,fulfilled
42,59,18,2,194.88,fulfilled
43,9,9,4,173.24,backorder
44,1,10,3,419.55,cancelled
45,20,15,5,244.75,backorder
46,71,25,5,191.72,backorder
47,25,23,2,288.04,fulfilled
48,53,2,3,373.63,cancelled
49,50,22,2,250.19,pending
50,17,17,5,169.34,pending
51,57,4,5,455.67,pending
52,19,14,2,42.04,backorder
53,44,20,4,326.67,backorder
54,69,13,3,315.27,cancelled
55,70,2,5,38.87,backorder
56,30,24,1,219.82,pending
57,13,15,2,348.53,pending
58,6,11,1,150.22,backorder
59,56,5,2,267.93,fulfilled
60,22,6,1,306.7,cancelled
61,80,22,2,251.35,fulfilled
62,30,15,3,232.49,pending
63,60,29,3,340.42,fulfilled
64,10,15,3,493.89,backorder
65,55,23,3,231.13,backorder
66,26,13,4,57.79,cancelled
67,74,12,5,151.46,backorder
68,3,27,4,140.87,pending
69,78,24,4,417.26,backorder
70,30,20,3,113.41,fulfilled
71,80,9,2,315.98,pending
72,40,26,4,21.52,backorder
73,17,3,3,166.73,cancelled
74,23,7,2,394.32,backorder
75,68,17,3,416.08,backorder
76,62,26,3,374.55,backorder
77,15,15,1,74.67,fulfilled
78,51,28,5,186.06,cancelled
79,2,9,5,66.18,backorder
80,34,19,4,412.1,backorder
81,14,22,2,238.38,backorder
82,79,8,1,319.52,cancelled
83,39,21,4,62.75,pending
84,5,10,4,62.48,fulfilled
85,69,5,4,229.55,cancelled
86,76,24,2,443.28,pending
87,63,20,4,469.83,backorder
88,5,23,3,112.55,cancelled
89,31,28,3,54.18,backorder
90,70,29,3,34.97,backorder
91,25,4,4,50.38,fulfilled
92,77,1,1,394.46,fulfilled
93,17,26,5,106.58,fulfilled
94,76,7,2,167.64,fulfilled
95,77,1,3,429.91,fulfilled
96,17,18,3,400.26,pending
97,4,5,1,182.33,fulfilled
98,76,11,1,91.25,pending
99,17,24,4,265.41,pending
100,61,15,3,259.05,pending
101,58,17,2,472.98,pending
102,67,10,4,323.45,pending
103,8,16,4,216.01,pending
104,63,23,4,41.38,pending
105,42,20,2,37.51,backorder
106,80,21,5,276.44,backorder
107,49,20,5,150.97,cancelled
108,13,26,1,427.13,fulfilled
109,56,15,2,209.84,cancelled
110,52,14,1,159.71,backorder
111,33,12,2,344.98,cancelled
112,9,3,1,51.15,pending
113,48,26,2,280.4,backorder
114,16,14,3,437.44,cancelled
115,7,10,5,159.66,pending
116,74,17,2,81.59,cancelled
117,29,28,1,178.31,backorder
118,15,25,3,289.18,cancelled
119,72,25,5,308.72,pending
120,78,30,3,19.33,backorder
