id,order_id,quantity,price_usd,subtotal,product_name,description,status,payment_method,is_premium,created_at,updated_at,customer_notes,internal_notes,discount_rate,transaction_hash,customer_id,warehouse_id
1,ORD-000001,92,970.62,89297.04,gercnkKRsQmRysVfCgdbiFwUKNyuGTiNCgPnSNRduiEQkgzAtDtSSWyNVuLXeButqpOnIxwZKGjlwaItygihUgphlvhRsIKoiJTHYCA YGNXhmqReFKnkrmhZ YZjtdClnkRQmeSSCvtMtyMWDoryFVQoOVHYtmtzTuXFAZdloestCWEXXWqesOFrXEvSjTmyZhtM o,Product 1,DELIVERED,CARD,1,2026-02-19 07:49:56.460186,2026-03-19 18:49:56.460186,N/A,,0.4486,TXN-1-64454,15.0,3.0
2,ORD-000002,125,1068.24,42729.6,xvIyfWVbIMACsiXeMxW,Product 2,CANCELLED,PAYPAL,1,2025-12-27 07:49:56.460215,2026-01-05 05:49:56.460215,N/A,Internal 2,0.0881,TXN-2-76255,59.0,3.0
3,ORD-000003,83,4824.4,400425.2,XJKvsNhVygwKvkaodRXHsixCbXrB bWzKMdjySkwGmEPOlvQKAibgusLBuWbIEHzngtGRTKWhhKRmGVFjpTKRPlsgwesbvWDyBuAYOQRkcagvsSRDVDDYLZAQHWOCnvkxnhZZ  hiLafGniDJNiR HjMsdjV rtcuSHMTmTgcv,Product 3,DELIVERED,PAYPAL,True,2025-11-17 07:49:56.460259,2025-11-17 13:49:56.460259,-,Internal 3,0.2794,TXN-3-49962,99.0,1.0
4,ORD-000004,42,743.34,31220.28,dPjJApvEMIuqoztndjHdeZoeOJroEJEt FxAQdQQaiZJdTAhJhdkmLWGyEybYzdwVmQ jxuOyrECGIwmHlHEWKkFHuqbBMErmhiFsbsQooHQpachZyqCOApxxqXwkVw nrbmqlkFuowjyeUDsEurctyatfCyJwmeqpBTSOGsoInZN,Product 4,SHIPPED,BANK,1,2025-03-19 07:49:56.460291,2025-03-30 06:49:56.460291,Note 4,,0.1527,TXN-4-25900,51.0,5.0
5,ORD-000005,76,1223.7,93001.2,mLToxlUUnBJIDhcrwGzX JCOBTonfaVEgKgzcrVBkHPtzFTgmcowqXhGERhNshgMyTTCFkEHSZDwQWGYntpnruelCtUpjRiJhTkyjvIamxEAKQvRSbP ILVEoNYiQeJzVdn qSdmQSYiRGoujNMNOkh Hmhhv lU,Product 5,PROCESSING,CARD,False,2025-12-06 07:49:56.460320,2025-12-17 02:49:56.460320,-,Internal 5,0.367,TXN-5-26102,86.0,4.0
6,ORD-000006,47,4664.14,219214.58,xwPGsRn,Product 6,NEW,BANK,1,2025-04-23 07:49:56.460337,2025-05-09 02:49:56.460337,,,,TXN-6-32680,30.0,
7,ORD-000007,99,1292.32,127939.68,jboWPcCyYQQQWayiiQpUdRMWnUyPfWIKrnfPFTXctCCWiJHrUdiFQFKuOonANYzHxOejgecCZcK DQNcWZdTTzKQXFsFGnsFMVffjVYNnDjbThfjJKnUuYWNaCkZpxVaA,Product 7,CANCELLED,CRYPTO,Y,2025-05-15 07:49:56.460362,2025-06-09 01:49:56.460362,N/A,,0.0104,TXN-7-31785,2.0,3.0
8,ORD-000008,49,3830.01,187670.49,sGUkKAHVvHlYFqmjWzQitiwUseQhIEXhpdWYOliqOLvxyMivRMJYctrnBIDfkfIOcoCTLiReTfRPtpJULCUCC paOfrDdqqhSaQjXWAHzSBPYHoUNPgxgpjGLxhdjqdpGCQfMXWETTeTxRvGZoKfiLfDdUwbKiaaXNCkuUaHrjmCmLXDiwQj,Product 8,CANCELLED,CARD,True,2025-07-30 07:49:56.460391,2025-08-16 06:49:56.460391,null,Internal 8,,TXN-8-69950,97.0,4.0
9,ORD-000009,30,887.37,26621.1, kUGuPYlzVergHCRRvvfxqPadiAiVLiJTMlVyFTCrXNLvVAfcOMRiHXBTRndgGYgWKsFECnKsAMaLMLtKRCOGsRhxqADYsloxHONUEGxHhGw qOEvbaPyKADKTpoYkGAqvmSBHkMCC pEbpaGJB,Product 9,DELIVERED,CARD,1,2025-12-20 07:49:56.460417,2025-12-25 08:49:56.460417,Note 9,,,TXN-9-28289,59.0,1.0
10,ORD-000010,38,2764.83,105063.54,aCoStflDCDUQrqRDGNnT,Product 10,NEW,PAYPAL,0,2025-11-16 07:49:56.460433,2025-11-16 21:49:56.460433,,Internal 10,0.5,TXN-10-16192,1.0,2.0
11,ORD-000011,14,2961.28,41457.92,skWYufnDRZJVpxcOWWICiUQbHktKcopYnFXuoswVvWiXuPgrsFUhXOjTgamXIpQnqVqpPtlxjSRCqzehrsfLTFangjeUXPmPhZAwoIMGDLrrjJjShTfgAzGxcWCHtFnyomtlOpUMTpSSgELZynSFbmBbkCwUd,Product 11,PROCESSING,BANK,N,2025-06-24 07:49:56.460466,2025-07-19 22:49:56.460466,,Internal 11,0.2565,TXN-11-76326,69.0,2.0
12,ORD-000012,72,342.52,24661.44,zzaRxqdjxqrJXMzQBfDfwzpUAMxuiQFdqluFEVHwZsGEPKfCD,Product 12,DELIVERED,BANK,Y,2026-03-09 07:49:56.460486,2026-03-31 23:49:56.460486,,Internal 12,,TXN-12-21139,70.0,5.0
13,ORD-000013,67,1453.26,97368.42,jpoXPpNVJMExDURVrLsBYNSchxEMGVSSRpCHWxearEpZXQPQkAUBuBeMHlANSgen ACoWEVbQITSES,Product 13,NEW,CRYPTO,0,2025-05-26 07:49:56.460506,2025-05-28 07:49:56.460506,N/A,Internal 13,,TXN-13-65735,,5.0
14,ORD-000014,97,3609.84,350154.48,aSqguNgEPenTgEzhTsmwEKrCfAgpdhlyvWXQCkOhxlsMvnsQdarrUNZeHpJerutEEsPgunYGISWyjbiF IvsnjeQnRKeVHKYrVrUHpRctgkDazlnzlhTUnnogOmqlbvQwvKTIGZWEjCTXAOUNsTmSrNySgokIwDDgfuSoMRkYFOVAkyItBMlpzanmaaWXsBHwbCu,Product 14,SHIPPED,PAYPAL,False,2026-02-25 07:49:56.460541,2026-03-08 11:49:56.460541,,,0.1163,TXN-14-21140,79.0,1.0
15,ORD-000015,46,2251.6,103573.6,aOdcKKSoDitPSIdzGfHhNCyFMzN TEkjeAphpoV,Product 15,PROCESSING,BANK,0,2026-01-25 07:49:56.460559,2026-01-29 21:49:56.460559,null,,,TXN-15-50039,49.0,5.0
16,ORD-000016,128,1908.03,169814.67,zhvKj...,Product 16,CANCELLED,CARD,True,2025-09-25 07:49:56.460574,2025-10-15 03:49:56.460574,-,Internal 16,,TXN-16-22554,64.0,2.0
17,ORD-000017,79,2307.93,182326.47,NbxifCucAUIAjbRqWONP fiQZzanmcZROpPVjhIaslFOhMXMEqRQz,Product 17,PROCESSING,CRYPTO,Y,2026-03-06 07:49:56.460597,2026-03-15 04:49:56.460597,NO DATA,,0.3128,TXN-17-51393,13.0,2.0
18,ORD-000018,61,2045.47,124773.67,yRMbZhYRtCfbfEfYCWeQCvOpGCvzwUZJgy WAoybNxIZZfbpSgxcvNOXOXkGMgkrmCBoYcilZvojLadiNAXhaValldaBnpLvmfaBEP ggQbYTuNHRhAXNECOMNGuCMp YXTDznmcWRZBKngfSYefUqJDtnAOZqZknSatrmvbrYG,Product 18,SHIPPED,PAYPAL,Y,2025-03-22 07:49:56.460625,2025-04-02 22:49:56.460625,Note 18,Internal 18,0.0741,TXN-18-17034,13.0,1.0
19,ORD-000019,35,4406.29,154220.15,ahOWKihlxWpaYubsVAKVyPtZviXsyaeG DhLfgwdjHrDpTvUdFlovcgmheeUWkVE HdebVYLaMxrYOMZnucUIVZwlHuZfemtMQ ZqSnsYe CiqfKRJjyauwQXXPYToeXUUvCBSPpyeidlavXQqD ZgqolcMUNDYhrHSGNinPavKQIegJGPCehnTwqrFpU,Product 19,CANCELLED,BANK,N,2026-02-12 07:49:56.460654,2026-03-06 19:49:56.460654,null,Internal 19,0.2099,TXN-19-13040,,4.0
20,ORD-000020,6,909.54,5457.24,RtkNeMnbLcGYwRmhLIAcdi kFDFGYeQbapXRmNAfRODcNU,Product 20,DELIVERED,BANK,1,2025-04-01 07:49:56.460676,2025-04-27 14:49:56.460676,Note 20,,0.1292,TXN-20-86262,83.0,3.0
21,ORD-000021,82,2333.83,191374.06,  rtagkxlCLbWDJSBahyOLyYfbKfGZiVJUF nzgkrmxwTVaQCJLtsTAaIJpQhUZiRuc FODSnJbQKsxKnTWtNUhrMSVRuaXltZYIOViSLKGTEpTAlaWNFQRqmhtdztQDupLmJXTmDerRU  ,Product 21,SHIPPED,CRYPTO,0,2025-11-05 07:49:56.460701,2025-11-11 22:49:56.460701,-,Internal 21,0.0611,TXN-21-71926,1788.0,5.0
22,ORD-000022,148,4529.26,45292.6,rfmtDAsntXcJFiMappOStoOybdfydAgunICHmJdfqZCPVpdpSLJuijnNKvhxDS xwhxVKhYTLXlDWzKsgVwAzcVKQBX FmdrtmaPKYGhkweVFxYPqKNvdzFyLsiTFTmPnSz,Product 22,DELIVERED,BANK,0,2025-12-02 07:49:56.460732,2025-12-09 23:49:56.460732,,,,TXN-22-94340,19.0,4.0
23,ORD-000023,84,4435.15,372552.6,GZfiPiUtpSvDbjfwEkTjbjvYEDfZoJoRdCUxUOWQeWxPVKXpkjSjWtlfQioxZWalDNOrdUGG rLlGgL ACeVguscZDwgwwurjTDqZFoNFbMACpaN N,Product 23,NEW,BANK,True,,2025-06-11 17:49:56.460758,NO DATA,,0.4212,TXN-23-32512,77.0,1.0
24,ORD-000024,31,3098.86,96064.66,nEblVskkaiscQWQsZgUlrrMVlvADDKlkPkiTuiwaCsNCIgSPNeUdPNuWGGYgmAkzqtiWuFTHEVs ,Product 24,NEW,BANK,False,2025-08-27 07:49:56.460781,2025-09-15 08:49:56.460781,,,,TXN-24-58808,30.0,
25,ORD-000025,55,4275.0,235125.0,ziTHvuVhbGgQmaFIUVqhdifsmraelOfHpJcTzFHnGgKngZAmRHJLCfjXaOzcAuEYUOF wfUXiyC,Product 25,SHIPPED,CRYPTO,1,2026-02-16 07:49:56.460802,2026-03-10 11:49:56.460802,N/A,Internal 25,0.2652,TXN-25-80973,22.0,3.0
26,ORD-000026,91,3968.88,361168.08,vjNozIPtWTHqtPuDjUafjMJHiUpjvFnjaTiiWeE,Product 26,PROCESSING,CARD,True,2025-05-11 07:49:56.460820,2025-06-10 06:49:56.460820,NO DATA,Internal 26,0.4157,TXN-26-68115,6.0,2.0
27,ORD-000027,122,1312.12,1312.12,RcEwjzpcMGcOEnOCjiSeYlTKwbCyIqofKwSzxgoLLsarykwxwhlf UPgIQnLZpXLuoRgNyyIutYVNwKPGjZRUQzTfDbe,Product 27,DELIVERED,BANK,False,2025-10-15 07:49:56.460841,2025-11-14 01:49:56.460841,,,0.1435,TXN-27-38730,57.0,3.0
28,ORD-000028,29,1344.07,38978.03,PQAunE iUOtlShDcKjBMoIZarArUzYjuorFaQElCnwqSHNpyYBoyutCxITUnvyKumDQZdIUetBGbdxWiSaBrKISupmvUbVmnowAlvIJbvLVgXjjvTW,Product 28,SHIPPED,CARD,Y,2026-03-09 07:49:56.460869,2026-03-31 03:49:56.460869,-,Internal 28,0.2512,TXN-28-53186,87.0,5.0
29,ORD-000029,6,1936.67,11620.02,kvqRKKUAzvNq rbJqhRKdIDOOCvMbujddOEYVakQEOAGJECigiLZOOmeNWCRqnvpbMFKJZeOYq FboPGwbujGRxanGi mWNoPRKPKRdMfyTaHYolgUBTOWfInOWIVIeaXPgcFiHcUkBCBVYdihiYDIOSSrYJbhAErDIyodCwFfFVTjzuabhaHyHQ wJUolQuIIrBR,Product 29,DELIVERED,CARD,True,2025-12-16 07:49:56.460899,2025-12-16 18:49:56.460899,NO DATA,Internal 29,0.4652,TXN-29-28691,39.0,2.0
30,ORD-000030,48,1075.53,51625.44,aeXYynjWEvRLntOaWpthOKcsLwAeCxtXKZURoUBhsLxABoLv YmcvyPZvFgEEzWVVhcnGuivGawdyXEjVt WYIiWFYDlNMTvBLxjWwpnBcYQVRfkBkOe vbVpcZLXhGNdPNJTUMDlgkRAiHChFCISuiPXhWrZ,Product 30,PROCESSING,CARD,Y,2025-12-14 07:49:56.460926,2025-12-24 06:49:56.460926,N/A,,,TXN-30-73501,55.0,4.0
31,ORD-000031,14,3112.3,43572.2,DGgXXRCZRITvgaztHaGvXwrzOIMZpSqQqnLqZIzGTfczkiAZdwOOjcKSNEMFBkykMQTqSpG,Product 31,SHIPPED,CRYPTO,0,2026-03-04 07:49:56.460946,2026-03-23 05:49:56.460946,NO DATA,Internal 31,0.3872,TXN-31-51315,9.0,1.0
32,ORD-000032,101,2068.28,126165.08,PGPHZ...,Product 32,NEW,PAYPAL,0,2025-11-04 07:49:56.460962,2025-11-15 20:49:56.460962,NO DATA,Internal 32,0.1244,TXN-32-97347,15.0,4.0
33,ORD-000033,37,57.53,2128.61,VQLqqC  nWLheCKFuiXMmtRDKoZNICauiKeVoxFTMswkXGynbWVOSzAZD ciZLFGCMK,Product 33,SHIPPED,BANK,True,2026-01-29 07:49:56.460989,2026-02-06 19:49:56.460989,NO DATA,,0.1893,TXN-33-22615,1048.0,5.0
34,ORD-000034,52,1205.6,62691.2,gFvpyK hqFyazoLpMYdCVOWVeNpNREMEwQQ hvnLEWtZhuNpgzDxluvrRucuxacMVeHoaCgTFF dNHhhGrKOytyFmfIjucLwhZsRAprQ FhqNZoprBgaDMFsslUSOvvTFKhAAqvaZvQSqwxpTiwWakQdAbtkaxKHeAewsxdgndnrx,Product 34,SHIPPED,CARD,N,2025-09-06 07:49:56.461021,2025-09-17 13:49:56.461021,NO DATA,Internal 34,0.34,TXN-34-51926,89.0,4.0
35,ORD-000035,41,3613.69,148161.29,  EMOXHCxNpMEwugmULAHDuYtyOZ KSQeoTQfj  ,Product 35,LOST,PAYPAL,2,2025-07-10 07:49:56.461046,2025-07-20 14:49:56.461046,,,0.0718,TXN-35-89128,90.0,4.0
36,ORD-000036,6,931.03,5586.18,WrORXVyGFjizmXiMTIcmjEn dGmQBplpIGBVaJrreSKguWxxKGkYgaSP liOwHPWAylXvMLbvXMbQaDcubGiAqHeRHPpcVoJUzOAwwtXSwiSmvQJsSQvYnvdEoFIlBlFOKNSLSFeFLwFGqqTFQkR,Product 36,DELIVERED,PAYPAL,False,2026-01-11 07:49:56.461084,2026-01-16 21:49:56.461084,NO DATA,,0.1286,TXN-36-59939,1824.0,2.0
37,ORD-000037,85,4335.25,368496.25,rpXmaLjxN UhkFCWXpRXivyAASPBWgx,Product 37,CANCELLED,CRYPTO,True,2025-09-30 07:49:56.461107,2025-10-28 08:49:56.461107,null,Internal 37,,TXN-37-78440,7.0,4.0
